date,cases,deaths,test_positive,test_total
2020-03-20,413,1,296,2666
2020-03-21,525,1,328,3031
2020-03-22,646,5,362,3403
2020-03-23,777,9,392,3722
2020-03-24,1159,11,423,4059
2020-03-25,1838,15,500,4774
2020-03-26,2417,25,551,23621
2020-03-27,3240,35,665,29371
2020-03-28,4257,44,718,35049
2020-03-29,4955,48,719,39066
2020-03-30,5752,56,768,42793
2020-03-31,6620,89,768,46935
2020-04-01,7738,122,807,51738
2020-04-02,8966,154,912,56608
2020-04-03,10402,192,893,62962
2020-04-04,11736,216,928,68800
2020-04-05,12500,231,1021,71937
2020-04-06,13837,260,1133,76429
2020-04-07,15202,356,1231,81344
2020-04-08,16790,433,1291,87511
2020-04-09,18941,503,1397,94958
2020-04-10,20974,599,1444,102372
2020-04-11,22860,686,1447,108776
2020-04-12,25475,756,1589,116730
2020-04-13,26867,844,1628,122049
2020-04-14,28163,957,1628,126551
